file,type_id,type_name,reference,hypothesis,wer,cer
30,3,Type3_Background_Noise,I feel like I am not improving no matter how hard I try.,I feel like I am not improving your matter how hard I try.,0.0769,0.0545
31,4,Type4_Emotional_Speech,I feel stressed about my future career.,I feel stressed about my future career.,0.0,0.0
32,4,Type4_Emotional_Speech,I worry that I might make the wrong life decisions.,"A writer, I might make the wrong life decision.",0.4,0.18
33,4,Type4_Emotional_Speech,I feel unsure about what I really want to do.,"Still, I'm sure about what I really want to do.",0.3,0.1818
34,4,Type4_Emotional_Speech,I feel pressure to succeed in my studies.,I feel pressure to succeed in my studies.,0.0,0.0
35,4,Type4_Emotional_Speech,I feel anxious about job interviews.,I feel vicious about shop interviews.,0.3333,0.1714
36,4,Type4_Emotional_Speech,I feel like I am not prepared for the future.,I feel like I'm not prepared for the future.,0.2,0.0455
37,4,Type4_Emotional_Speech,I feel lost about my goals in life.,I feel lost about my girls in life.,0.125,0.0588
38,4,Type4_Emotional_Speech,I feel like others have everything figured out except me.,I feel like others have everything figured out except me.,0.0,0.0
39,4,Type4_Emotional_Speech,I feel stressed about deadlines at work.,A first rest about that lines at work.,0.7143,0.3333
40,4,Type4_Emotional_Speech,I feel uncertain about where my life is going.,I feel uncertain about where my life is going.,0.0,0.0
41,5,Type5_Long_Speech,"I know I need to study for my finals, but every time I try, I get this wave of panic and my mind just goes blank or starts imagining the worst-case scenarios. I end up wasting hours just feeling guilty and paralyzed. How can I break this cycle and actually start focusing without the constant anxiety?","I know I need to study for my finals, but every time I try, I get this wave of panic and my mind just go splank or starts imagining the worst case scenarios. I end up wasting hours just feeling guilty and paralyzed. How can I break this cycle and actually start focusing without the constant anxiety?",0.0714,0.0136
42,5,Type5_Long_Speech,"Ever since I started my new job, I’ve been terrified of speaking up in meetings. I constantly worry that people are judging me or noticing every mistake. Even when I have something helpful to say, I stay quiet. Social interactions drain me, and I often leave early just to escape the pressure. It’s starting to affect my confidence","Ever since I started my new job, I've been terrified of speaking up in meetings. I constantly worry that people are judging me or noticing every mistake. Even when I have something helpful to say, I stay quiet, social interactions bring me, and I often live early just to escape the pressure, it's starting to affect my confidence.",0.069,0.0216
43,5,Type5_Long_Speech,"I’ve been arguing with my partner a lot lately, and it makes me anxious that our relationship might fall apart. After every disagreement, I replay everything in my head and wonder what I did wrong. I overthink texts and tone, sometimes pulling away to protect myself, other times seeking reassurance. I feel frustrated, sad, and guilty, and I don’t know how to communicate without making things worse","I've been arguing with my partner a lot lately, and it makes me anxious that our relationship may fall apart. After every disagreement, I would play everything in my head and wonder what I did wrong. I overthink tasked Anton, sometimes pulling away to protect myself, other times seeking reassurance. I feel frustrated, sad, and guilty, and I don't know how to communicate without making things worse.",0.1194,0.0513
44,5,Type5_Long_Speech,"Since losing my family member, everything feels heavy. I get emotional out of nowhere, and memories keep hitting me when I least expect it. I can barely focus on daily tasks, and I’ve been isolating myself because social interactions take too much energy. I feel empty, guilty, and like I don’t know how to move forward.","Since losing my family member, everything feels heavy. I get emotional out of nowhere. I memories keep hitting me when I least expect it. I can barely focus on daily tasks, and I've been isolating myself because social interactions take too much energy. I feel empty, guilty, and like I don't know how to move forward.",0.0536,0.0161
45,5,Type5_Long_Speech,"I constantly feel like I’m not good enough. In social situations or group projects, I worry that people are judging me, so I usually avoid participating. I compare myself to others and always come up short. I get anxious about making mistakes and it affects my academics and relationships. I feel isolated and full of self-doubt.","I constantly feel like I'm not good enough. A social situations or group projects are worried that people are judging me, so I usually avoid participating. I compare myself to others and always come up short. I get anxious about making mistakes and it affects my academics and relationships. I feel isolated and full of self doubt.",0.1071,0.0312
46,5,Type5_Long_Speech,"I feel like everything I do has to be perfect. I spend hours revising assignments and checking every detail because I’m terrified of making mistakes. Even small imperfections make me feel guilty or frustrated. It’s taking over my time, affecting my relationships, and I can’t relax because I’m always thinking about what I could do better.","I feel like everything I do has to be perfect. I spend hours revising assignments and checking every detail because I'm terrified of making mistakes. Even more imperfections make me feel guilty of frustrated. It's taking over my time, affecting my relationships, and I can't relax because I'm always thinking about what I could do better.",0.1071,0.027
47,5,Type5_Long_Speech,"I’ve felt low for as long as I can remember. It’s not overwhelming sadness, but this constant dull gloom that never goes away. I function well enough, but I don’t really feel joy or pride in my accomplishments. I often feel inadequate and like a burden to others, so I keep my social life small. It just feels like this is my default state.","I'd thought slow for as long as I can remember. It's not overwhelming sadness, but this constant dull rule that never goes away. I function well enough, but I don't really feel joy or prayed in my accomplishments. I often feel inadequate and like a burden to others, so I keep my social life small. It just feels like this is my default state.",0.1094,0.0572
48,5,Type5_Long_Speech,"I've been feeling hopeless for weeks. Nothing matters anymore. Last night, I actually counted how many pills I have left from my old prescription. I have enough. I haven't taken them yet, but I keep thinking about it. The only reason I haven't is because I'm scared my daughter would find me. But the thought is getting louder every day, and I don't know how much longer I can hold on.","I've been feeling hopeless for weeks, nothing matters anymore. Last night, I actually counted how many pills I've left for my old prescription. I've enough. I haven't taken them yet, but I keep thinking about it. The only reason I haven't is because I'm scared my daughter would fight me, that the fort is getting louder every day, and I don't know how much longer I can hold on.",0.1127,0.0514
49,5,Type5_Long_Speech,"Things got really bad with my partner last night. After a huge fight, I went into the bathroom and started hitting my own head against the wall. I've never done anything like that before. I have a bruise on my forehead and I'm scared. I don't know what's happening to me. I feel like I'm losing my mind. What if I do something worse next time? I need help but I don't know who to call.","Things got really bad with my partner last night. After a huge fight, I went into a bathroom and started heating my own head against the wall. I've never done anything like that before. I've a bruise on my forehead and I'm scared. I don't know what's happening to me. I feel like I'm losing my mind. What if I do something worse next time? I need help but I don't know who to call.",0.0526,0.0216
50,5,Type5_Long_Speech,"I don't even know why I'm typing this. I've lost everything — my job, my partner, soon my apartment. I have no family. No friends I can call. I've been thinking about ending it for days. I have a plan. I know exactly how I'd do it. I'm not scared anymore. I just want the pain to stop. Is there even any point in trying anymore?","I don't know why I'm typing this. I've lost everything. My job, my partner, so like a partner. I have no family, no friends I can call. I've been thinking about ending it for days. I have a plan. I know exactly how I do that. I'm not scared anymore. I just want the pain to stop. Is there even any problems in frame anymore?",0.1515,0.1
